:START_ID,:END_ID,:TYPE,edge_id,source_layer,source_name,confidence:float,evidence_text,semantic_key,fusion_status,fusion_reason,role,display_label
02312e2f5243659ab53e68d8ff421eddd405e153,Q7251,EXT_EVENT_ARG,EVENT_ARG::124b7e5a1afde5cdd07b,event,wikidata_sparql,0.95,1936-11-01T00:00:00Z,EVENT_ARG::02312e2f5243659ab53e68d8ff421eddd405e153::author::Q7251,original,,author,EXT_EVENT_ARG [event]
a792edef8564208d7585c87cc98fd83ab581af45,Q7251,EXT_EVENT_ARG,EVENT_ARG::1523dc4a01267ee74178,event,wikidata_sparql,0.95,1934-01-01T00:00:00Z / 1937-01-01T00:00:00Z,EVENT_ARG::a792edef8564208d7585c87cc98fd83ab581af45::employee::Q7251,original,,employee,EXT_EVENT_ARG [event]
c7bea787ad5448520499863371dbc6967628dbc6,Q10762848,EXT_EVENT_ARG,EVENT_ARG::1c9e45b29c8e23c6d2e1,event,wikidata_sparql,0.95,1946-06-24T00:00:00Z,EVENT_ARG::c7bea787ad5448520499863371dbc6967628dbc6::award::Q10762848,original,,award,EXT_EVENT_ARG [event]
13a76a6840c4f803d98fab147da6c075e10306fe,Q20895966,EXT_EVENT_ARG,EVENT_ARG::1ff241dceaada1916ee9,event,wikidata_sparql,0.95,,EVENT_ARG::13a76a6840c4f803d98fab147da6c075e10306fe::work::Q20895966,original,,work,EXT_EVENT_ARG [event]
2a05c44046c0ff3b9725dd8f1399763132f78538,Q7251,EXT_EVENT_ARG,EVENT_ARG::20ef81f16fee7d947203,event,wikidata_sparql,0.95,1912-06-23T00:00:00Z,EVENT_ARG::2a05c44046c0ff3b9725dd8f1399763132f78538::person::Q7251,original,,person,EXT_EVENT_ARG [event]
2a05c44046c0ff3b9725dd8f1399763132f78538,Q122744,EXT_EVENT_ARG,EVENT_ARG::24d610fa29bf7fb802dc,event,wikidata_sparql,0.95,1912-06-23T00:00:00Z,EVENT_ARG::2a05c44046c0ff3b9725dd8f1399763132f78538::birth_place::Q122744,original,,birth_place,EXT_EVENT_ARG [event]
a449a2c2651db20dadc33f9a74b0bd9422ed138b,Q133854517,EXT_EVENT_ARG,EVENT_ARG::2f57e0d0eda4b1822d40,event,wikidata_sparql,0.95,,EVENT_ARG::a449a2c2651db20dadc33f9a74b0bd9422ed138b::concept::Q133854517,original,,concept,EXT_EVENT_ARG [event]
1d571ae7716ccdf8b90543c0b11670a99a4ecfd3,Q4428206,EXT_EVENT_ARG,EVENT_ARG::324ed89fcccd730f7f31,event,wikidata_sparql,0.95,,EVENT_ARG::1d571ae7716ccdf8b90543c0b11670a99a4ecfd3::machine::Q4428206,original,,machine,EXT_EVENT_ARG [event]
a790cdad3d1d635be084f074dfa9659aa4553e9e,literal:Time:0f6f3c5f98bf927f034c,EXT_EVENT_ARG,EVENT_ARG::33788d743ba05ddd0bf0,event,wikidata_sparql,,1938-01-01T00:00:00Z / 1945-01-01T00:00:00Z,EVENT_ARG::a790cdad3d1d635be084f074dfa9659aa4553e9e::time::literal:Time:0f6f3c5f98bf927f034c,original,,time,EXT_EVENT_ARG [event]
c7bea787ad5448520499863371dbc6967628dbc6,Q7251,EXT_EVENT_ARG,EVENT_ARG::3485ac7a15d8274f158f,event,wikidata_sparql,0.95,1946-06-24T00:00:00Z,EVENT_ARG::c7bea787ad5448520499863371dbc6967628dbc6::recipient::Q7251,original,,recipient,EXT_EVENT_ARG [event]
1e9b58834e7b16a92a35ece0040ea5fba8b5646a,Q20895942,EXT_EVENT_ARG,EVENT_ARG::425cb181e304f2d13371,event,wikidata_sparql,0.95,1912-06-23T00:00:00Z,EVENT_ARG::1e9b58834e7b16a92a35ece0040ea5fba8b5646a::birth_place::Q20895942,original,,birth_place,EXT_EVENT_ARG [event]
f39ef217cb68fe49a2e99bc130f5e35a3a548bc6,Q2011497,EXT_EVENT_ARG,EVENT_ARG::450f7234602bc4de928c,event,wikidata_sparql,0.95,1954-06-07T00:00:00Z,EVENT_ARG::f39ef217cb68fe49a2e99bc130f5e35a3a548bc6::death_place::Q2011497,original,,death_place,EXT_EVENT_ARG [event]
ed744fa1064b360acfcfca02f6d0a2141333df69,Q2278254,EXT_EVENT_ARG,EVENT_ARG::455db397672259449dbb,event,wikidata_sparql,0.95,1926-01-01T00:00:00Z / 1931-01-01T00:00:00Z,EVENT_ARG::ed744fa1064b360acfcfca02f6d0a2141333df69::institution::Q2278254,original,,institution,EXT_EVENT_ARG [event]
13a76a6840c4f803d98fab147da6c075e10306fe,Q7251,EXT_EVENT_ARG,EVENT_ARG::460bf3b0846f74fd131d,event,wikidata_sparql,0.95,,EVENT_ARG::13a76a6840c4f803d98fab147da6c075e10306fe::author::Q7251,original,,author,EXT_EVENT_ARG [event]
5a00f19fd1d6759d0c4be6649fb1923c029d4db3,Q867530,EXT_EVENT_ARG,EVENT_ARG::4f3db5dde2af4fdb95ab,event,wikidata_sparql,0.95,1948-03-01T00:00:00Z / 1952-01-01T00:00:00Z,EVENT_ARG::5a00f19fd1d6759d0c4be6649fb1923c029d4db3::employer::Q867530,original,,employer,EXT_EVENT_ARG [event]
485e7b42f082b3f9bfe9914a4f7c26cbe263d84f,Q480476,EXT_EVENT_ARG,EVENT_ARG::4ff73e6f8835b636e784,event,wikidata_sparql,0.95,,EVENT_ARG::485e7b42f082b3f9bfe9914a4f7c26cbe263d84f::machine::Q480476,original,,machine,EXT_EVENT_ARG [event]
a3a5c29adddf0f5038d69edbdbca9d7643c5e3f1,Q7251,EXT_EVENT_ARG,EVENT_ARG::555afbd3513eec96810a,event,wikidata_sparql,0.95,1951-01-01T00:00:00Z,EVENT_ARG::a3a5c29adddf0f5038d69edbdbca9d7643c5e3f1::recipient::Q7251,original,,recipient,EXT_EVENT_ARG [event]
f39ef217cb68fe49a2e99bc130f5e35a3a548bc6,literal:Time:33de5fe2cd954544d48a,EXT_EVENT_ARG,EVENT_ARG::610e0bf497d218b3593c,event,wikidata_sparql,,1954-06-07T00:00:00Z,EVENT_ARG::f39ef217cb68fe49a2e99bc130f5e35a3a548bc6::time::literal:Time:33de5fe2cd954544d48a,original,,time,EXT_EVENT_ARG [event]
2a05c44046c0ff3b9725dd8f1399763132f78538,literal:Time:0da24e3bb4d3dedaae48,EXT_EVENT_ARG,EVENT_ARG::61d3887fd0cf95ca8edc,event,wikidata_sparql,,1912-06-23T00:00:00Z,EVENT_ARG::2a05c44046c0ff3b9725dd8f1399763132f78538::time::literal:Time:0da24e3bb4d3dedaae48,original,,time,EXT_EVENT_ARG [event]
a790cdad3d1d635be084f074dfa9659aa4553e9e,Q7251,EXT_EVENT_ARG,EVENT_ARG::6730d1b6fbefb452b7bf,event,wikidata_sparql,0.95,1938-01-01T00:00:00Z / 1945-01-01T00:00:00Z,EVENT_ARG::a790cdad3d1d635be084f074dfa9659aa4553e9e::employee::Q7251,original,,employee,EXT_EVENT_ARG [event]
bf987415a571311b8922eeeb1f87eb1d71597af3,Q7251,EXT_EVENT_ARG,EVENT_ARG::6861f53dff8b456b3e7b,event,wikidata_sparql,0.95,1945-01-01T00:00:00Z / 1947-01-01T00:00:00Z,EVENT_ARG::bf987415a571311b8922eeeb1f87eb1d71597af3::employee::Q7251,original,,employee,EXT_EVENT_ARG [event]
c0bff1944eb8e0c3d4baa2e819978f8d88fdf91e,Q66135280,EXT_EVENT_ARG,EVENT_ARG::68d51b78a3e757930a16,event,wikidata_sparql,0.95,1926-01-01T00:00:00Z,EVENT_ARG::c0bff1944eb8e0c3d4baa2e819978f8d88fdf91e::institution::Q66135280,original,,institution,EXT_EVENT_ARG [event]
1e9b58834e7b16a92a35ece0040ea5fba8b5646a,literal:Time:0da24e3bb4d3dedaae48,EXT_EVENT_ARG,EVENT_ARG::6930fbcdd5900572f322,event,wikidata_sparql,,1912-06-23T00:00:00Z,EVENT_ARG::1e9b58834e7b16a92a35ece0040ea5fba8b5646a::time::literal:Time:0da24e3bb4d3dedaae48,original,,time,EXT_EVENT_ARG [event]
5a00f19fd1d6759d0c4be6649fb1923c029d4db3,literal:Time:b2b342a2f3fc34e359f4,EXT_EVENT_ARG,EVENT_ARG::6b01e0407786e722519e,event,wikidata_sparql,,1948-03-01T00:00:00Z / 1952-01-01T00:00:00Z,EVENT_ARG::5a00f19fd1d6759d0c4be6649fb1923c029d4db3::time::literal:Time:b2b342a2f3fc34e359f4,original,,time,EXT_EVENT_ARG [event]
bf987415a571311b8922eeeb1f87eb1d71597af3,literal:Time:9041828c0460dc10a617,EXT_EVENT_ARG,EVENT_ARG::72eb5d60f90e8a7a10ae,event,wikidata_sparql,,1945-01-01T00:00:00Z / 1947-01-01T00:00:00Z,EVENT_ARG::bf987415a571311b8922eeeb1f87eb1d71597af3::time::literal:Time:9041828c0460dc10a617,original,,time,EXT_EVENT_ARG [event]
ba90e8467fa8af5fd940399abc6644e1b63c792f,Q7251,EXT_EVENT_ARG,EVENT_ARG::74074b5eaa0da54a9c3f,event,wikidata_sparql,0.95,1936-01-01T00:00:00Z,EVENT_ARG::ba90e8467fa8af5fd940399abc6644e1b63c792f::recipient::Q7251,original,,recipient,EXT_EVENT_ARG [event]
b80211a4d499adc9bcfb5f49462bc4e4bd4bd447,Q39086154,EXT_EVENT_ARG,EVENT_ARG::748e9785dec89dce802f,event,wikidata_sparql,0.95,,EVENT_ARG::b80211a4d499adc9bcfb5f49462bc4e4bd4bd447::concept::Q39086154,original,,concept,EXT_EVENT_ARG [event]
a792edef8564208d7585c87cc98fd83ab581af45,Q35794,EXT_EVENT_ARG,EVENT_ARG::787d95c442c8729a3c24,event,wikidata_sparql,0.95,1934-01-01T00:00:00Z / 1937-01-01T00:00:00Z,EVENT_ARG::a792edef8564208d7585c87cc98fd83ab581af45::employer::Q35794,original,,employer,EXT_EVENT_ARG [event]
1d571ae7716ccdf8b90543c0b11670a99a4ecfd3,Q7251,EXT_EVENT_ARG,EVENT_ARG::78ce1e8e434aa6c21691,event,wikidata_sparql,0.95,,EVENT_ARG::1d571ae7716ccdf8b90543c0b11670a99a4ecfd3::designer::Q7251,original,,designer,EXT_EVENT_ARG [event]
ba90e8467fa8af5fd940399abc6644e1b63c792f,Q1690167,EXT_EVENT_ARG,EVENT_ARG::7957a5446fa06fe18555,event,wikidata_sparql,0.95,1936-01-01T00:00:00Z,EVENT_ARG::ba90e8467fa8af5fd940399abc6644e1b63c792f::award::Q1690167,original,,award,EXT_EVENT_ARG [event]
9afba5d1054d30c0b5c6311091a901309b24ec0a,Q7251,EXT_EVENT_ARG,EVENT_ARG::799ae7b60a6c46703920,event,wikidata_sparql,0.95,,EVENT_ARG::9afba5d1054d30c0b5c6311091a901309b24ec0a::proposer::Q7251,original,,proposer,EXT_EVENT_ARG [event]
bf987415a571311b8922eeeb1f87eb1d71597af3,Q1967606,EXT_EVENT_ARG,EVENT_ARG::7c137136726da8383bd0,event,wikidata_sparql,0.95,1945-01-01T00:00:00Z / 1947-01-01T00:00:00Z,EVENT_ARG::bf987415a571311b8922eeeb1f87eb1d71597af3::employer::Q1967606,original,,employer,EXT_EVENT_ARG [event]
02312e2f5243659ab53e68d8ff421eddd405e153,literal:Time:db3b90bd9a3e9d01dabd,EXT_EVENT_ARG,EVENT_ARG::954ac08ea283172fd4c5,event,wikidata_sparql,,1936-11-01T00:00:00Z,EVENT_ARG::02312e2f5243659ab53e68d8ff421eddd405e153::time::literal:Time:db3b90bd9a3e9d01dabd,original,,time,EXT_EVENT_ARG [event]
2caa17fc3f980570acc9e699c090d266c141bbdf,literal:Time:21785e0e0e312d0d4b9f,EXT_EVENT_ARG,EVENT_ARG::9d9dae11671b64e15526,event,wikidata_sparql,,1937-01-01T00:00:00Z / 1938-01-01T00:00:00Z,EVENT_ARG::2caa17fc3f980570acc9e699c090d266c141bbdf::time::literal:Time:21785e0e0e312d0d4b9f,original,,time,EXT_EVENT_ARG [event]
